FID,Presubmission_ID,Project_Name,Date_Received,Meeting_Date,Meeting_Time,Meeting_Location_Place,Meeting_Location_Address,Meeting_Location_City,Meeting_Location_Zip,Proposed_Units,Proposed_Acres,Sign_Code,Sign_Year,locationDescription,TaxMap_Parcel,Zoning,Coordinates,geom
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43d9,1166,Mullinex Farm Subdivision,2012-04-13,2012-05-10,6:00 PM,Lisbon Volunteer Fire Department Hall,1220 Woodbine Road,Woodbine,21765,3,63.42,R33,12,A.E. MULLINIX RD EAST OF DUVALL RD,"[TaxMap 13 Parcel 138],[TaxMap 7 Parcel 138]",RC-DEO,"(39.3161,-77.079)",POINT (1289913.334586151 600680.1399282012)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43d8,1165,Sharon and Michael Benko,2012-04-10,2012-05-10,6:00 pm,West Friendship Volunteer Fire Department,13535 Old Frederick Road,Sykesville,21104,,,C09,12,WELLWORTH WAY,[TaxMap 15 Parcel 235],RR-DEO,"(39.2968,-76.9508)",POINT (1326263.9063815884 593664.2175486926)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43d7,1157,NCV Daycare Center,2012-04-04,2012-05-09,6:15  PM,Elkridge Library,6540  Washington Boulevard,Elkridge,21075,0,0.046,N07,12,LITTLE COVE FARM WAY AT NEW COLONY BLVD,[TaxMap 43 Parcel 670],R-MH,"(39.1776,-76.7808)",POINT (1374431.8310366943 550312.2727031428)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43d6,1167,"Ultimate CNG, LLC",2012-04-12,2012-05-08,6:00 pm,North Laurel Community Center,9411 Whiskey Bottom Road,Laurel,20723,,,C10,12,OLD DORSEY RUN RD AT GUILFORD RD,"[TaxMap  Parcel ],[TaxMap 48 Parcel 65]",M-2,"(39.1333,-76.7951)",POINT (1370383.2516280487 534217.1339907907)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43d5,1163,Dorsey Business Center Parcel R,2012-03-29,2012-05-07,6:00 pm,Elkridge Library,6540 Washington Blvd,Elkrdige,21075,39,4.26,R31,12,NW TERMINUS OF DEERPATH RD,[TaxMap 37 Parcel 375],TOD,"(39.1851,-76.7556)",POINT (1381572.7184947133 553055.3031056728)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43d4,1161,Baughan Property,2012-03-22,2012-05-02,6:00pm,Elkridge Library,6540 Washington Boulevard,Elkridge,21075,3,2,R30,12,N SIDE LANDING RD 2000' SE OF ILCHESTER RD,[TaxMap 31 Parcel 758],R-ED,"(39.2346,-76.7645)",POINT (1379061.1716886535 571063.6751862001)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43d3,1164,Goins Property,2012-04-03,2012-04-26,6:00 pm,Howard County Library Avalon Room ,9421  Frederick Road,Ellicott ,21043,5,2.15,R32,12,ST JOHNS LANE N OF COUNTRY LN,[TaxMap 17 Parcel 72],R-20,"(39.2939,-76.8394)",POINT (1357827.0253176726 592605.9240450021)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43d2,1160,Yale Presbyterian Church,2012-03-19,2012-04-18,6:30 p.m.,Ellicott City Senior Center,9401 Frederick Road,Ellicott City,21042,,,C08,12,MONTGOMERY ROAD,"[TaxMap 31 Parcel 294],[TaxMap 31 Parcel 310]",R-20,"(39.2372,-76.8014)",POINT (1368597.2411863506 571986.4359621909)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43d1,1158,"Two Farms, Inc.",2012-03-19,2012-04-11,6:00 p.m.,North Laurel Community Center,9411  Whiskey Bottom Road,Laurel,20723,,,M06,12,WASHINGTON BLVD SOUTH OF DAVIS ST,[TaxMap 50 Parcel 263],CAC-CLI,"(39.1098,-76.8369)",POINT (1358520.2845726907 525669.2844991535)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43d0,1155,Lisbon Commercial Center - CANCELLED,2012-02-22,2012-03-21,6:00,Glenwood Library - CANCELLED,2350  Route 97,Cooksville,21723,0,5.85,N06,12,"NORTH OF OLD FREDERICK ROAD, ABOUT 300' E. OF ITS INTERS. W/MADISON STREET",[TaxMap 7 Parcel 478],B-2,"(39.3478,-77.0661)",POINT (1293563.8022503518 612228.7829241902)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43cf,1156,Montgomery Road Townhomes,2012-02-27,2012-03-20,6:30,Ellicott City Senior Center,9401 Frederick Road,Ellicott City,21043,44,5.63,R29,12,NE SIDE MONTGOMERY RD E OF RT 29,"[TaxMap 24 Parcel 324],[TaxMap 24 Parcel 325],[TaxMap 24 Parcel 326],[TaxMap 24 Parcel 327]",R-SA-8,"(39.2528,-76.8152)",POINT (1364688.176883392 577650.7730334904)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43ce,1153,Hawes Property ,2012-02-15,2012-03-19,6:00 pm,Miller Library,9421 Frederick Road,Ellicott City,21042,8,5.08,R28,12,TERMINUS OF VIEW TOP RD,[TaxMap 24 Parcel 253],R-20,"(39.2651,-76.8204)",POINT (1363205.1586303525 582144.6629961915)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43cd,1151,Renfro Property,2012-02-03,2012-03-08,6:00,Glenwood Library,2350 State Route 97,Cookesville,21723,5,17,R27,12,FREDERICK RD E OF MCKENDREE RD,[TaxMap 15 Parcel 178],RC-DEO,"(39.3115,-76.9941)",POINT (1313995.0169124305 599007.8471665811)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43cc,1150,NORTH LAUREL PARK,2012-02-01,2012-03-06,6:00 PM,NORTH LAUREL COMMUNITY CENTER,9411  WHISKEY BOTTOM RD,LAUREL,20723,37,6.9,R26,12,WASHINGTON BLVD SOUTH BREWERS CT,[TaxMap 50 Parcel 426],CAC-CLI,"(39.1133,-76.8349)",POINT (1359090.4010866508 526922.5822150819)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43cb,1148,McDaniel Property,2012-01-31,2012-03-05,6:00,"St. Mark's Episcopal Church, Parish Hall",12700 Hall Shop Road,Highland,20777,8,39.16,R24,12,HIGHLAND RD OPPOSITE GREEN HOLLOW WAY,"[TaxMap 34 Parcel 117],[TaxMap 34 Parcel 78],[TaxMap 40 Parcel 117],[TaxMap 40 Parcel 78]",RR-DEO,"(39.1862,-76.9635)",POINT (1322666.855080273 553448.4352922421)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43ca,1145,Regan Property,2012-01-23,2012-02-29,6:00 pm,Clarksville 5th District Volunteer Frie House,5000 Signal Bell Lane,Clarksville,21029,22,83.81,R23,12,SE OF MACBETH FARM LN,"[TaxMap 34 Parcel 200],[TaxMap 40 Parcel 200]",RR-DEO,"(39.1871,-76.9438)",POINT (1328249.4289791733 553778.0594681725)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43c9,1149,9222 Old Scaggsville Road,2012-01-31,2012-02-28,6:30 pm,Palotti High School - Second Floor,113  St Marys Place,Laurel,20707,140,21.6824,R25,12,INTERSECTION OF OLD SCAGGSVILLE RD & HIGH RIDGE RD,"[TaxMap  Parcel ],[TaxMap 0050 Parcel 0363],[TaxMap 50 Parcel 363]",R-SC,"(39.1165,-76.8623)",POINT (1351342.9114262313 528091.0583352633)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43c8,1146,"Trinity School, Inc.",2012-01-20,2012-02-21,6:00 p.m.,"St. Lidwine's Hall, Trinity School, Inc.",4985  Ilchester Road,Ellicott City,21043,,,C07,12,E SIDE OF ILCHESTER RD 2200' S OF LANDING RD,[TaxMap 31 Parcel 839],R-20,"(39.2283,-76.764)",POINT (1379179.7544271722 568748.7201948315)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43c7,1147,BETHEL KOREAN PRESBYTERIAN CHURCH,1900-01-01,2012-02-15,6:00 pm,BETHEL KOREAN PRESBYTERIAN CHURCH,3165 SAINT JOHNS LANE,ELLICOTT CITY,21042,0,10,N05,12,"EAST OF ST. JOHN'S LN ABOUT 2,000' N OF US 40","[TaxMap  Parcel ],[TaxMap 0024 Parcel 1168],[TaxMap 24 Parcel 1168]",R-SI,"(39.2842,-76.8265)",POINT (1361477.2860954925 589095.582759453)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43c6,1144,Romanik Property,2012-01-20,2012-02-14,6:00 pm,Ho Co Library Miller Branch,9421 Frederick Road,Ellicott City,21042,71,5.09,R22,12,PINE ORCHARD LANE,[TaxMap 24 Parcel 647],R-A-15,"(39.2818,-76.865)",POINT (1350574.3200223483 588197.2702401914)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43c5,1143,Michael Property,2011-12-23,2012-01-28,12:45 pm,Elkridge Library,6540  Washington Blvd,Elkridge,21075,8,3.53,R21,12,S SIDE MONTGOMERY RD W OF ROCKBURN WOODS WAY,[TaxMap 37 Parcel 563],R-20,"(39.2138,-76.7718)",POINT (1376979.8691993132 563498.5016093124)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43c4,1138,The Preserve at Maple Hill,2011-12-13,2012-01-25,6:00pm,Savage Library,9525  Durness Lane,Laurel,20723,2,0.488,R19,12,SE SIDE OF ALL SAINTS RD N OF HARVEST WAY,[TaxMap 50 Parcel 496],R-SC,"(39.1158,-76.8548)",POINT (1353458.2594783492 527854.1142531913)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43c3,1142,5857 Trotter Raod,2011-12-21,2012-01-25,6:00 pm,Fifth District Volunteer Fire Station,5000 Signal Bell Lane,"Clarksville, Maryland",21029,2,1.01,R20,12,"EAST SIDE OF TROTTER RD, N. OF DEPARTED SUNSET LN",[TaxMap 35 Parcel 220],R-20,"(39.2102,-76.9187)",POINT (1335346.9156423546 562172.2227741927)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43c2,1141,The Mall in Columbia,2011-12-21,2012-01-17,6:30 p.m. ,Howard Community College - Room 400,10901  Little Patuxent Parkway,Columbia,21044,0,5.67,V01,12,INTER. OF LITTLE PATUXENT PKY & GOV. WARFIELD PKY,[TaxMap 36 Parcel 460],NT,"(39.2158,-76.8603)",POINT (1351905.4241572134 564202.8245026208)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43c1,1137,4925 Montgomery Road,2011-12-12,2012-01-04,6:00 pm,Central Library,10375  Little Patuxent Parkway,"Columbia, Maryland",21044,5,3.778,R18,12,MONTGOMERY RD S OF WATERLOO RD,[TaxMap 31 Parcel 593],R-20,"(39.236,-76.7951)",POINT (1370380.2106816694 571554.7422235832)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43c0,1136,"Wehland Property, Lot 3",2011-11-29,2012-01-03,6:00pm,Elkridge Library,6540 Washington Blvd,Elkridge,21075,2,1,R17,12,NE SIDE AMBERMAN AVE N OF US RT 1,[TaxMap 38 Parcel 83],R-12,"(39.201,-76.7384)",POINT (1386445.5842543542 558816.0876951907)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43bf,1135,"MEETING CANCELLED Forest Green, Parcel A",2011-11-22,2011-12-19,6:30,Ellicott City Senior Center - Great Room,9401  Frederick Road,Ellicott City,21042,10021,10.729,R16,12,SOUTH OF BALTIMORE NATIONAL PIKE,"[TaxMap 0024 Parcel 0069],[TaxMap 0024 Parcel 0072],[TaxMap 0024 Parcel 0453],[TaxMap 0024 Parcel 0497],[TaxMap 0024 Parcel 1172],[TaxMap 24 Parcel 1172],[TaxMap 24 Parcel 453],[TaxMap 24 Parcel 497],[TaxMap 24 Parcel 69],[TaxMap 24 Parcel 72]","B-1,B-2","(39.278,-76.8576)",POINT (1352670.1385670118 586815.487352943)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43be,1133,WRJ Property,2011-11-14,2011-12-17,12:30 pm,Elkridge Library,6540 Washington Blvd,Elkridge,21075,2,1.16,R14,12,MONTGOMERY RD ACROSS FROM HUNT CLUB RD,"[TaxMap 37 Parcel 304],[TaxMap 38 Parcel 304]",R-20,"(39.2121,-76.7455)",POINT (1384443.0629648902 562871.2436359227)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43bd,1134,Waskey Property,2011-11-17,2011-12-08,7:00 pm,Gorman Crossing Elementary,9999 Winter Sun Road,Laurel,20723,98,18.4,R15,12,"EAST SIDE OF GORMAN ROAD, 1400' N OF SKYLARK BLVD","[TaxMap  Parcel ],[TaxMap 47 Parcel 4]",PSC,"(39.1434,-76.8536)",POINT (1353811.890651092 537866.6554235723)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43bc,1132,Bozzuto Group,2011-11-04,2011-11-29,6:00 pm,Gateway Building,6751 Columbia Gateway Drive Rm 401,Columbia,21046,,,M05,12,NW QUADRANT OF SNOWDEN RIVER PKWY AND MD RTE 108,[TaxMap 37 Parcel 4],POR,"(39.2144,-76.8015)",POINT (1368580.1659748517 563688.942001503)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43bb,1131,Veli Demirel,2011-10-20,2011-11-16,6:30 pm,Ellicott City Senior Center,9401 Frederick Road,Ellicott City,21042,,,M04,12,S SIDE OF FREDERICK RD W OF CENTENNIAL LN,"[TaxMap 24 Parcel 544],[TaxMap 24 Parcel 62],[TaxMap 24 Parcel 63]",OT,"(39.2781,-76.8622)",POINT (1351363.0389203504 586864.8529761918)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43ba,1130,CATTAIL CREEK COUNTRY,2011-10-04,2011-11-16,6:00 pm,GLENWOOD LIBRARY,2350 ROUTE 97,COOKSVILLE,21723,,,C06,12,CATTAIL CREEK DR,"[TaxMap 0021 Parcel 0211],[TaxMap 21 Parcel 211]",RC-DEO,"(39.2725,-77.0431)",POINT (1300099.399675753 584816.0832438022)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43b9,1125,Holiday Hills Lot 34,2011-09-26,2011-11-14,6:00 pm,Central Library,10375 Little Patuxent Parkway,Columbia,21044,2,1.03,R10,12,N SIDE VISTA RD E OF NEWBERRY DR,[TaxMap 41 Parcel 220],R-20,"(39.1798,-76.8816)",POINT (1345874.3602633104 551124.3235686906)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43b8,1127,Downtown Columbia Par C D  Lot 39,2011-10-04,2011-10-27,6:30 pm,Howard Comm College-Student Services Hall,10901  Little Patuxent Parkway,Columbia,21044,817,12.82,R12,12,INTERSECTION OF BROKEN LAND PKWY & TWIN RIVERS RD,"[TaxMap  Parcel ],[TaxMap 36 Parcel 382],[TaxMap 36 Parcel 460]",NT,"(39.2154,-76.8657)",POINT (1350359.271549549 564053.1930256523)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43b7,1126,Van Noy Property,2011-09-29,2011-10-27,6:00 pm,MT ZION METHODIST CHURCH,12430 SCAGGSVILLE RD,HIGHLAND,20777,2,15.94,R11,12,BROWN BRIDGE RD N OF SCAGGSVILLE RD,"[TaxMap 40 Parcel 370],[TaxMap 40 Parcel 371],[TaxMap 40 Parcel 372],[TaxMap 40 Parcel 468],[TaxMap 40 Parcel 469],[TaxMap 40 Parcel 470],[TaxMap 40 Parcel 471],[TaxMap 40 Parcel 472],[TaxMap 40 Parcel 473]",RR-DEO,"(39.1699,-76.9424)",POINT (1328629.5047657713 547502.4032468107)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43b6,1128,Howard County Medical Research Park Parcel C-4,2011-10-04,2011-10-25,7:00 pm,Hollifield Station Elementary School,8701 Stonehouse Dr,Ellicott City,21043,127,14.03,R13,12,INTERSECTION OF N RIDGE RD & TOWN & COUNTRY BLVD,[TaxMap 17 Parcel 666],POR,"(39.2881,-76.8233)",POINT (1362398.5908224732 590505.817700943)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43b5,1118,Mason Property,2011-09-01,2011-10-17,6:30 p.m.,Ellicott City Senior Center - Great Room,9401 Frederick Road,Ellicott City,21042,89,46.267,R08,12,SW SIDE OLD ANNAPOLIS RD OPPOSITE BRIARCLIFFE LN,[TaxMap 30 Parcel 86],R-20,"(39.2464,-76.8524)",POINT (1354146.3579101115 575324.3303070329)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43b4,1119,Land Design and Development,2011-09-01,2011-10-17,6:30 pm,Ellicott City Senior Center - Great Room,9401  Frederick Road,Ellicott City,21042,,,C04,12,SW SIDE OLD ANNAPOLIS RD OPPOSITE BRIARCLIFFE LN,[TaxMap 30 Parcel 86],R-20,"(39.2464,-76.8524)",POINT (1354146.3579101115 575324.3303070329)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43b3,1124,Ronald L Spahn Megan Reuwer,2011-09-19,2011-10-13,6:00 pm,Waverly Woods Club House,2180 Warwick Way,Woodstock,21163,,,M03,12,INTERSECTION OF MARRIOTTSVILLE RD & ROUTE 99,"[TaxMap  Parcel ],[TaxMap 16 Parcel 249]",PSC,"(39.3121,-76.9019)",POINT (1340113.912256632 599243.3002795521)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43b2,1123,Patmos Lodge No. 70,2011-09-15,2011-10-11,6:00 pm,Fifth District Volunteer Fire Department,"5000 Signal Bell Lane, Rm 215",Clarksville,21029,,,C05,12,RT 108 WEST OF CENTENNIAL LN,[TaxMap 29 Parcel 106],R-20,"(39.2352,-76.8731)",POINT (1348262.7643283084 571275.2109729033)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43b1,1122,Pine Road Property,2011-09-13,2011-10-06,6:00 pm,Savage Library,9525  Durness Lane,Laurel,20723,6,1.83,R09,12,PINE RD NE OF GUILFORD RD,[TaxMap 47 Parcel 668],R-12,"(39.149,-76.8128)",POINT (1365367.7532967292 539910.5849611517)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43b0,1121,"Columbia Memorial Park, Lot 3",2011-09-09,2011-10-05,6:00 pm,Central Library,10375 Little Patuxent Parkway,"Columbia, Maryland",21044,0,25.638,N03,12,CLARKSVILLE PIKE & TROTTER ROAD,[TaxMap 29 Parcel 371],NT,"(39.2199,-76.9254)",POINT (1333458.0033161119 565714.1835141908)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43af,1116,Salina Akhter and Madhavilata Puli,2011-08-15,2011-09-13,6:30 p.m.,Ellicott City Senior Center,9401 Frederick Road,Ellicott City,21042,,,C03,12,ROGERS AVE S OF ROUTE 40,"[TaxMap  Parcel ],[TaxMap 25 Parcel 100]",R-20,"(39.2796,-76.808)",POINT (1366717.7889523916 587402.8964497522)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43ae,1115,LePore Property,2011-08-08,2011-09-08,6:00pm,North Laurel Community Center,9411  Whiskey Bottom Rd,Laurel,20723,0,1.4,R07,12,WHISKEY BOTTOM RD S OF NORTHGATE,[TaxMap 50 Parcel 438],R-SC,"(39.1179,-76.8353)",POINT (1358983.97929959 528623.8215963021)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43ad,1117,Rock Burn,2011-08-15,2011-09-07,6:00 pm,Elkridge Volunteer Fire Department,6275 Old Washington Blvd,Elkridge,21075,,,C02,12,MONTGOMERY RD 1000' N MARSHALEE DR,"[TaxMap 37 Parcel 52],[TaxMap 37 Parcel 53],[TaxMap 37 Parcel 54]",R-20,"(39.2135,-76.7616)",POINT (1379875.9497683495 563370.4528191909)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43ac,1114,Kellogg CCP LLC,2011-08-08,2011-08-30,6:30 p.m.,Elkridge Senior Center,6540  Washington Boulevard,Elkridge,21075,,,M02,12,INTERSECTION OF COCA COLA DR & PARK CIRCLE DR,"[TaxMap 38 Parcel 761],[TaxMap 44 Parcel 761]",TOD,"(39.1848,-76.7373)",POINT (1386769.131880194 552925.2651445828)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43ab,1113,Paragon Columbia,2011-07-21,2011-08-15,6:30 p.m.,The Gateway Building,"6751 Columbia Gateway Drive, Suite 303",Columbia,21046,320,18.6816,R06,12,SW QUADRANT LARK BROWN RD & OLD WATERLOO RD,[TaxMap 37 Parcel 382],NT,"(39.1876,-76.792)",POINT (1371268.0706665926 553965.547014242)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43aa,1112,Trotters Point,2011-07-18,2011-08-11,6:00 pm,"Clarksville Station No. 5, 5th District VFD",5000 Signal Bell Lane,Clarksville,21029,14,7.66,R05,12,W SIDE TROTTER RD N OF SOUTH WIND CIR,"[TaxMap 35 Parcel 165],[TaxMap 35 Parcel 8],[TaxMap 35 Parcel 9]",R-20,"(39.2125,-76.9201)",POINT (1334956.0987683535 563025.3480201904)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43a9,1110,"St. Louis Roman Catholic Congregation, Inc.",2011-07-07,2011-08-03,6:30 p.m.,"St. Louis Church, Room 301 of the Pastoral Center",12500  Clarksvill Pike (MD Rt. 108),Clarksville,21029,,,C01,12,W SIDE CLARKSVILLE PIKE OPPOSITE GUILFORD RD,"[TaxMap 34 Parcel 196],[TaxMap 34 Parcel 29],[TaxMap 34 Parcel 30],[TaxMap 34 Parcel 77]",,"(39.2052,-76.9439)",POINT (1328219.022349432 560360.5462207813)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43a8,1111,St. Louis Church and School,2011-07-07,2011-08-03,6:30 p.m.,"St. Louis Church, Room 301 of the Pastoral Center",12500 Clarksville Pike (MD Rt. 108),Clarksville,21029,0,23.36,N01,12,W SIDE CLARKSVILLE PIKE OPPOSITE GUILFORD RD,"[TaxMap 34 Parcel 196],[TaxMap 34 Parcel 29],[TaxMap 34 Parcel 30],[TaxMap 34 Parcel 77]",,"(39.2052,-76.9439)",POINT (1328219.022349432 560360.5462207813)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43a7,1108,"Shangri-La Homes, LLC",2011-06-23,2011-07-27,6:30 p.m.,Central Library,10375 Little Patuxent Parkway,Columbia,21044,,,M01,12,MONTGOMERY RD WEST OF STONECREST DR,"[TaxMap  Parcel ],[TaxMap 31 Parcel 579]",R-20,"(39.2488,-76.8083)",POINT (1366637.2109584697 576212.6315142624)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43a6,1109,CHATHAM RD SUBDIVISION,2011-06-28,2011-07-23,10 -12,Miller Library,9421 Frederick Road,Ellicott City,21042,3,1.83,R04,12,INTERSECTION OF CHATHAM RD & DUNLOGGIN RD,[TaxMap 24 Parcel 935],R-20,"(39.2639,-76.833)",POINT (1359636.192863632 581703.4088727906)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43a5,1104,Bethel Christian Academy Modular Installation,2011-05-23,2011-07-16,9:00 am,Bethel Assembly of God ,8455 Savage Guilford Rd,Savage,20794,0,,C20,11,EAST OF SAVAGE GUILFORD ROAD ABOUT 200' NORTH OF BALTIMORE STREET,[TaxMap 47 Parcel 768],"R-12,R-SA-8","(39.1392,-76.8233)",POINT (1362385.5484783538 536339.9103381913)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43a4,1105,Cedar Acres 22,2011-06-02,2011-07-07,6:00 pm,Abiding Savior Lutheran Church,10689  Owen Brown Road,Columbia,21044,1,0.68,R01,12,S SIDE HILLTOP LN OPPOSITE GREEN VIEW WAY,[TaxMap 35 Parcel 92],R-20,"(39.2008,-76.8881)",POINT (1344013.5051310733 558749.0995444804)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43a3,1106,Trotters Run,2011-06-03,2011-07-07,6:00 pm,5th District Volunteer Fire Department,5000 Signal Bell Lane,"Clarksville, MD",21029,3,2.36,R02,12,S SIDE SWIMMER ROW WAY,[TaxMap 35 Parcel 342],R-20,"(39.1921,-76.9205)",POINT (1334844.524660211 555595.4417057708)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43a2,1107,Ellicott Mills Overlook,2011-06-13,2011-07-06,6:30,Ellicott City Senior Center - Great Room,9401  Frederick Road,Ellicott City,21042,166,1.824,R03,12,TERMINUS OF ELLICOTT CENTER DRIVE,"[TaxMap  Parcel ],[TaxMap 0024 Parcel 0847],[TaxMap 24 Parcel 847]",,"(39.2792,-76.8125)",POINT (1365458.9731859528 587265.4836463816)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43a1,1103,Fulton Manor Valley,2011-05-23,2011-06-16,6:00,Emmanual United Methodist Church - Room 3 ,10755 Scaggsville Road,Laurel,20723,12,25.963,R23,11,ROUTE 216 AT INTERSECTION OF PINDELL SCHOOL RD,"[TaxMap 41 Parcel 456],[TaxMap 41 Parcel 78]",RR-DEO,"(39.1542,-76.9306)",POINT (1331974.1830240898 541819.7163460534)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-43a0,1102,Symphony Woods Park,2011-05-19,2011-06-16,7:00 pm,Columbia Association Board Room,10221 Wincopin Circle,Columbia,21044,0,17,V03,11,LITTLE PATUXENT PKWY W OF S ENTRANCE RD,[TaxMap 36 Parcel 452],NT,"(39.2111,-76.861)",POINT (1351716.9053200707 562491.8574571516)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-439f,1101,Chapel Rise,2011-04-29,2011-05-23,6:00 pm,Faulkner Ridge Neighborhood Center,10518  Marble Faun Lane,Columbia,21044,9,33.5,R22,11,TERMINUS OF CHAPEL ESTATES DR,"[TaxMap 29 Parcel 26],[TaxMap 29 Parcel 282],[TaxMap 29 Parcel 353]",RC-DEO,"(39.2334,-76.922)",POINT (1334421.878458351 570610.3696686625)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-439e,1100,Ellicott Mills Overlook ,2011-04-14,2011-05-17,6:30,Ellicott City Senior Center - Great Room,9401  Frederick Road,Ellicott City,21042,0,1.824,R21,11,TERMINUS OF ELLICOTT CENTER DRIVE,"[TaxMap  Parcel ],[TaxMap 0024 Parcel 0847],[TaxMap 24 Parcel 847]",,"(39.2792,-76.8125)",POINT (1365458.9731859528 587265.4836463816)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-439d,1099,Price Property,2011-04-08,2011-05-14,10:00am,Miller Library,9421  Frederick Road,Ellicott City,21042,2,0.95,R20,11,HORSESHOE RD BETWEEN TIYANA CT & SUNSET DR,[TaxMap 31 Parcel 61],R-20,"(39.2281,-76.8039)",POINT (1367876.2619904727 568686.7649739627)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-439c,1098,Viram & Mina Patel,2011-04-05,2011-05-13,6:00 pm,Fulton Elementary School,11600 Scaggsville Road,Fulton,20759,,,C19,11,NORTHEAST CORNER OF SCAGGSVILLE ROAD AND BROWNS BRIDGE ROAD,[TaxMap 40 Parcel 108],RR-DEO,"(39.1674,-76.941)",POINT (1329030.8671770282 546619.1531519722)
